x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
-268.56008229998406,894.980783241801,34.67172600030899,103.12773225718198,2.8025096922778676,0,0,0,0,0
-264.8426816710853,898.3881776183844,34.71735133677721,103.13081754781628,4.662273879793128,0,2,0,0,0
-261.0972720476566,901.7365097738802,34.760930854640904,103.13392646750496,5.1084052941139495,0,2,0,0,0
-256.87776722578565,904.497821258381,34.75875802598894,103.13743356280294,4.772246644534843,0,2,0,0,0
-252.04555005492875,906.0000316305086,34.72040103636682,103.14145756296533,4.4511766971991955,0,2,0,0,0
-247.06789503106847,905.5074574053288,34.70411122944206,103.14561207343276,4.0285392848540456,0,2,0,0,0
-242.94485147594241,902.6359207369387,34.70611754879356,103.14906465683833,3.844180417899239,0,2,0,0,0
-240.13318444805918,898.4484442416579,34.713829150237146,103.1514293944251,3.9075873159098795,0,2,0,0,0
-237.82153710286366,893.9808181999251,34.727790743857625,103.1533783248403,3.9156573287570984,0,2,0,0,0
-235.25703847996192,889.6703149303794,34.796966112032536,103.15553745995022,3.932277610881496,0,3,0,0,0
-232.13748794636922,885.7128439582884,34.83224952481687,103.15815798731508,3.5653229479828976,0,3,0,0,0
-228.783613238018,882.0043021580204,34.855876128003004,103.16097284234385,0.4008034475600289,0,3,0,0,0
-225.36846717691515,878.2435261122882,34.84981084503234,103.16383905740295,4.054414132502948,0,1,0,0,0
-221.57744967547478,874.8945401282981,34.864547641761604,103.16701692528257,5.44488385782504,0,1,0,0,0
-217.4721190261189,871.9903982337564,34.87624541651458,103.17045494172824,6.026969494414792,0,1,0,0,0
-213.44463618681766,868.8475026478991,34.92428119555116,103.1738291283868,5.411136673657879,0,1,0,0,0
-209.84122426004615,865.3382639428601,34.95654429662973,103.17685126039092,3.2726995708657243,0,2,0,0,0
-206.39158664888237,861.69250764139,34.98972760681063,103.17974575386252,2.1397275097556068,0,2,0,0,0
