x,y,z,yaw,velocity,change_flag,steering_flag,accel_flag,stop_flag,event_flag
-268.7611777650891,894.797115846537,34.66950587444008,103.1275653527995,2.651837876199697,0,0,0,0,0
-267.98846178426174,895.5054661221802,34.67847024351359,103.12820667594481,3.176777159790392,0,2,0,0,0
-267.2352491533966,896.196738618426,34.6812903245911,103.12883180803891,3.6347071919227396,0,2,0,0,0
-266.4467114263098,896.9175584986806,34.71393044367433,103.12948627102092,4.007740688364879,0,2,0,0,0
-265.7047047337401,897.5926601300016,34.72044138591737,103.13010212927432,4.34542676104235,0,2,0,0,0
-264.91091294784565,898.3249216498807,34.71681919861585,103.13076092208762,4.6431875300288326,0,2,0,0,0
-264.13825384911615,899.0350957252085,34.729180089943114,103.13140218754504,4.89757165519058,0,2,0,0,0
-263.3344585087616,899.7837323155254,34.73640797734261,103.13206924885095,5.064333729391648,0,2,0,0,0
-262.5758925213595,900.4671647055075,34.74060433991254,103.1326988807542,5.124498976535658,0,2,0,0,0
-261.8034523957176,901.142440892756,34.74982360545546,103.13334012357515,5.135735034345415,0,2,0,0,0
-261.01766876730835,901.8004460847005,34.76157064717263,103.1339925762136,5.095102653098324,0,2,0,0,0
-260.21071132610086,902.4156090514734,34.76523108482361,103.13466288861754,5.037009359140866,0,2,0,0,0
-259.3903212103178,902.9928943170235,34.76322432961315,103.13534458050303,4.988883703702937,0,2,0,0,0
-258.48190803523175,903.5951957600191,34.75652283225209,103.1360995837464,4.909497435140606,0,2,0,0,0
-257.55808872764464,904.1372826583683,34.75888772942126,103.13686771530858,4.819652543308471,0,2,0,0,0
-256.6215094004874,904.6262695025653,34.755556671693924,103.13764673541769,4.75377707967036,0,2,0,0,0
-255.67093019804452,905.0503051262349,34.74394887574017,103.13843773279307,4.678249365038065,0,2,0,0,0
-254.70798179955455,905.4040648909286,34.74338796809316,103.13923937177739,4.618839113361973,0,2,0,0,0
-253.7354911667644,905.6841413388029,34.72727300021798,103.14004930973769,4.551637929156328,0,2,0,0,0
-252.66840534011135,905.9069379623979,34.71891154237092,103.14093842075158,4.491550973118575,0,2,0,0,0
-251.6017221030197,906.0459287269041,34.720175051875415,103.14182758187329,4.416074460950719,0,2,0,0,0
-250.54666635848116,906.0854095220566,34.71252678129822,103.14270750223783,4.339066342106662,0,2,0,0,0
-249.51068553701043,906.0377349918708,34.69807488266379,103.14357191209122,4.262715279703886,0,2,0,0,0
-248.50239510717802,905.8926269812509,34.69970008712262,103.14441367253833,4.183038570744653,0,2,0,0,0
-247.45455320249312,905.6355852009729,34.703687771968546,103.14528894182132,4.071438953170077,0,2,0,0,0
-246.46972039696993,905.268865016289,34.70180558022112,103.14611215629945,3.9836514884376526,0,2,0,0,0
-245.55403726012446,904.7991161206737,34.69828923121095,103.14687816274282,3.9095795632953063,0,2,0,0,0
-244.70399938971968,904.2462303321809,34.706230618804696,103.14758979293937,3.8563384110148866,0,2,0,0,0
-243.9311848707148,903.6080331886187,34.70034345779568,103.14823739879141,3.828276558658374,0,2,0,0,0
-243.15655936306575,902.8608099576086,34.69680101964623,103.1488870183761,3.840430920010984,0,2,0,0,0
-242.49282606807537,902.1070416281,34.70859839469195,103.14944416468698,3.852104889867449,0,2,0,0,0
-241.8866431049537,901.3038622587919,34.70116186589003,103.14995353166294,3.864358940291613,0,2,0,0,0
